Date,Close
8/23/2017,103.18
8/24/2017,103.22
8/25/2017,103.35
8/28/2017,103.78
8/29/2017,103.77
8/30/2017,103.73
8/31/2017,103.52
9/1/2017,103.9
9/5/2017,103.01
9/6/2017,103.18
9/7/2017,104.56
9/8/2017,104.43
9/11/2017,106.15
9/12/2017,106.21
9/13/2017,105.83
9/14/2017,106.08
9/15/2017,105.3
9/18/2017,104.83
9/19/2017,105.41
9/20/2017,105.41
9/21/2017,105.31
9/22/2017,105.56
9/25/2017,103.02
9/26/2017,102.94
9/27/2017,103.89
9/28/2017,104.58
9/29/2017,104.58
10/2/2017,105.44
10/3/2017,105.59
10/4/2017,105.31
10/5/2017,106.24
10/6/2017,106.73
10/9/2017,107.01
10/10/2017,107.31
10/11/2017,108.44
10/12/2017,108.11
10/13/2017,108.66
10/16/2017,108.3
10/17/2017,107.54
10/18/2017,107.8
10/19/2017,107.02
10/20/2017,107.55
10/23/2017,107.53
10/24/2017,108.41
10/25/2017,109.49
10/26/2017,109.8
10/27/2017,109.71
10/30/2017,110.04
10/31/2017,109.98
11/1/2017,111.07
11/2/2017,110.98
11/3/2017,111.36
11/6/2017,111.92
11/7/2017,112.09
11/8/2017,112.47
11/9/2017,112.14
11/10/2017,111.88
11/13/2017,111.4
11/14/2017,111.98
11/15/2017,110.25
11/16/2017,111.02
11/17/2017,109.82
11/20/2017,109.95
11/21/2017,111.45
11/22/2017,110.82
11/24/2017,111.97
11/27/2017,112.38
11/28/2017,113.36
11/29/2017,109.86
11/30/2017,112.59
12/1/2017,110.73
12/4/2017,107.43
12/5/2017,108.58
12/6/2017,109.74
12/7/2017,111.4
12/8/2017,112.6
12/11/2017,112.37
12/12/2017,113.46
12/13/2017,113.31
12/14/2017,112.92
12/15/2017,113.82
12/18/2017,113.55
12/19/2017,112.14
12/20/2017,112.12
12/21/2017,112.41
12/22/2017,112.69
12/26/2017,112.99
12/27/2017,114.02
12/28/2017,114.35
12/29/2017,114.02
1/2/2018,114.51
1/3/2018,115.65
1/4/2018,116.08
1/5/2018,118.86
1/8/2018,119.34
1/9/2018,119.11
1/10/2018,118.98
1/11/2018,119.84
1/12/2018,120.09
1/16/2018,120.39
1/17/2018,121.98
1/18/2018,123.11
1/19/2018,122.7
1/22/2018,124.33
1/23/2018,124.65
1/24/2018,124.55
1/25/2018,125.22
1/26/2018,126.32
1/29/2018,124.84
1/30/2018,123.55
1/31/2018,124.23
2/1/2018,125.72
2/2/2018,120.91
